Date,Time,Open,High,Low,Close,Tick volume,Mid_price,Price_range,Hour
2023-04-21,18:30:00,317.056,317.187,316.346,316.557,4427,316.7665,0.841,18
2023-04-21,19:00:00,316.546,316.717,315.837,316.286,5507,316.277,0.88,19
2023-04-21,19:30:00,316.297,316.717,315.976,316.596,5823,316.3465,0.741,19
2023-04-24,13:30:00,316.357,317.727,315.797,316.907,14926,316.762,1.93,13
2023-04-24,14:00:00,316.896,316.987,316.137,316.767,11815,316.562,0.85,14
2023-04-24,14:30:00,316.756,316.846,314.696,315.087,11377,315.771,2.15,14
2023-04-24,15:00:00,315.086,315.257,314.416,314.457,6526,314.8365,0.841,15
2023-04-24,15:30:00,314.467,314.797,313.726,314.007,5643,314.2615,1.071,15
2023-04-24,16:00:00,314.006,314.567,313.816,314.547,4934,314.1915,0.751,16
2023-04-24,16:30:00,314.546,314.887,314.466,314.826,4369,314.6765,0.421,16
2023-04-24,17:00:00,314.837,315.116,314.576,314.976,4997,314.846,0.54,17
2023-04-24,17:30:00,314.987,315.737,314.896,315.617,3666,315.3165,0.841,17
2023-04-24,18:00:00,315.606,316.147,315.606,315.706,4201,315.8765,0.541,18
2023-04-24,18:30:00,315.707,315.817,315.216,315.767,4499,315.5165,0.601,18
2023-04-24,19:00:00,315.777,316.037,315.587,315.706,4099,315.812,0.45,19
2023-04-24,19:30:00,315.716,316.066,315.456,315.937,5031,315.761,0.61,19
2023-04-25,13:30:00,314.276,314.957,313.776,314.066,14440,314.3665,1.181,13
2023-04-25,14:00:00,314.077,314.617,313.066,313.326,12360,313.8415,1.551,14
2023-04-25,14:30:00,313.336,313.767,312.896,313.407,9499,313.3315,0.871,14
2023-04-25,15:00:00,313.407,313.957,313.126,313.377,6474,313.5415,0.831,15
2023-04-25,15:30:00,313.356,313.367,312.606,312.657,6334,312.9865,0.761,15
2023-04-25,16:00:00,312.667,312.746,312.266,312.387,5854,312.506,0.48,16
2023-04-25,16:30:00,312.387,312.407,311.876,312.326,4228,312.1415,0.531,16
2023-04-25,17:00:00,312.336,312.777,311.106,311.747,6002,311.9415,1.671,17
2023-04-25,17:30:00,311.757,311.827,311.056,311.226,6245,311.4415,0.771,17
2023-04-25,18:00:00,311.217,311.477,310.516,311.126,6056,310.9965,0.961,18
2023-04-25,18:30:00,311.127,311.457,310.637,310.786,6443,311.047,0.82,18
2023-04-25,19:00:00,310.767,311.307,310.646,310.766,5223,310.9765,0.661,19
2023-04-25,19:30:00,310.776,311.147,309.887,309.946,7531,310.517,1.26,19
2023-04-26,13:30:00,313.426,313.766,312.206,313.686,17085,312.986,1.56,13
2023-04-26,14:00:00,313.637,313.837,312.136,312.666,14472,312.9865,1.701,14
2023-04-26,14:30:00,312.647,313.426,312.576,313.236,12370,313.001,0.85,14
2023-04-26,15:00:00,313.247,314.537,313.167,314.056,8851,313.852,1.37,15
2023-04-26,15:30:00,314.046,314.447,313.896,314.316,6695,314.1715,0.551,15
2023-04-26,16:00:00,314.326,314.926,314.216,314.437,6778,314.571,0.71,16
2023-04-26,16:30:00,314.426,314.456,313.347,313.547,7442,313.9015,1.109,16
2023-04-26,17:00:00,313.557,313.847,313.276,313.457,6992,313.5615,0.571,17
2023-04-26,17:30:00,313.447,313.647,312.356,312.737,6274,313.0015,1.291,17
2023-04-26,18:00:00,312.756,312.816,312.117,312.757,6651,312.4665,0.699,18
2023-04-26,18:30:00,312.747,312.787,311.686,311.906,7599,312.2365,1.101,18
2023-04-26,19:00:00,311.917,312.106,311.466,311.986,6293,311.786,0.64,19
2023-04-26,19:30:00,311.996,312.367,311.326,311.776,7392,311.8465,1.041,19
2023-04-28,13:30:00,320.117,320.687,318.956,319.847,15156,319.8215,1.731,13
